#CELL		  0 0
Climate     3
Hemisphere  1
State       30 12 26 23 100 49 59 69
End

#CELL		  1 0
Climate     7
Hemisphere  1
State       7 22 20 7 100 30 -11 59
End

#CELL		  2 0
Climate     0
Hemisphere  1
State       27 43 62 100 56 76 87 -91
End

#CELL		  0 1
Climate     9
Hemisphere  0
State       71 19 26 61 91 18 -11 62
End

#CELL		  1 1
Climate     9
Hemisphere  1
State       78 82 32 53 88 24 29 100
End

#CELL		  2 1
Climate     7
Hemisphere  1
State       34 76 32 23 100 28 -100 86
End

#CELL		  0 2
Climate     2
Hemisphere  1
State       25 46 29 12 100 33 95 -69
End

#CELL		  1 2
Climate     3
Hemisphere  0
State       38 60 32 69 59 38 38 100
End

#CELL		  2 2
Climate     3
Hemisphere  0
State       44 30 40 59 74 41 -19 76
End


#END

